Ekev, fEkev
0.6588190510829887, 0.062055171393949324
0.6726322081802538, 0.10184595749498943
0.7017887638402122, 0.18529692033260692
0.7324252158153691, 0.2978377887305452
0.7898842888917298, 0.49877063134031985
0.8245286864550672, 0.7381374928340447
0.9593026093801179, 1.7914215933149695
1.0234293560606826, 2.820039449832466
1.153430685322873, 4.346405268478505
1.2723110749890183, 5.563799329859165
1.419056963487969, 6.833329865151148
1.6004142884109553, 7.887587702876577
1.8862465304657765, 8.379343164585698
2.273760681036955, 6.946478861068644
2.510454128365991, 6.006185366891426
2.6820928535217674, 5.19470477011603
2.929431879459942, 4.222125982666591
3.096042962536738, 3.4326508463576975
3.271969143869928, 2.8490290391153663
3.4961880255079207, 2.3160749562359797
3.6150615629110288, 1.8448780749191025
3.779003257021375, 1.5000606596109811
4.038364880206558, 1.170110707117692
4.175878241480528, 0.9130051158858217
4.317224975849483, 0.7737393320797169
4.463795017521297, 0.6291852525652653
4.6153411207224115, 0.5116375317014775
4.877358423881125, 0.43350932233990264
4.933072663994974, 0.3674559816769469
5.214153309166166, 0.2866593831483243
5.572012557709834, 0.22360643309224168
5.825274079916993, 0.17445677626024741
6.3605963040719775, 0.16049849665513716
7.335064149788232, 0.16029344298565074
8.742992028717472, 0.15042707674620628
10.304987530140314, 0.1565391567530312
11.884335639071617, 0.15314364412758702
13.400533305468057, 0.19199326667657896
15.292542732927224, 0.15598594962958998
15.81250294024106, 0.12425118526161599
16.881972090205622, 0.1434914084569934
18.426116487197785, 0.15572539293821658
